KG id,KG name,Sparql endpoint,SPARQL endpoint URL,Availability of RDF dump (metadata),Availability of RDF dump (query),URL for download the dataset,Inactive links,Creation date,Modification date,Percentage of data updated,Time elapsed since last modification,Historical updates,Languages (query),Languages (metadata),Serialization formats,Availability for download (query),Availability for download (metadata),Use HTTPS,Requires authentication,Average length of URIs (subject),Standard deviation lenght URIs (subject),Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Average length of URIs (predicate),Standard deviation lenght URIs (predicate),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Average length of URIs (object),Standard deviation lenght URIs (object),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),Use RDF structures,License machine redeable (metadata),License machine redeable (query),License human redeable,Minimum latency,25th percentile latency,Median latency,75th percentile latency,Maximum latency,Average latency,Standard deviation of latency,Minimum throughput,25th percentile throughput,Median throughput,75th percentile throughput,Maximum throughput,Average throughput, Standard deviation of throughput, Number of triples (metadata),Number of triples (query),Number of entities,Number of entities counted with regex,Number of property,Dataset update frequency,Degree of connection,Clustering coefficient,Centrality,Number of samAs chains,External links,PageRank,Description,Dataset URL,Is on a trusted provider list,Trust value,Vocabularies,Author (query),Author (metadata),Contributor,Publisher,Sources,Signed, Number of triples,Number of triples linked,Interlinking completeness,New vocabularies defined in the dataset,New terms defined in the dataset,Number of labels/comments present on the data, Percentage of triples with labels,Regex uri,Presence of example,Number of blank nodes,Uses RDF structures,Deprecated classes/properties used,Entities as member of disjoint class,Triples with misplaced property problem,Triples with misplaced class problem,Ontology Hijacking problem,Undefined class used without declaration,Undefined properties used without declaration,Extensional conciseness,Intensional conciseness,Triples with empty annotation problem,Triples with white space in annotation(at the beginning or at the end),Triples with malformed data type literals problem,Functional properties with inconsistent values,Invalid usage of inverse-functional properties,Number of triples updated,Score,Normalized score,Limited,Offline dumps,Url file VoID,Availability VoID file,MinTPNoOff,MeanTPNoOff,MaxTPNoOff,sdTPNoOff,URIs Deferenceability
atc-publikovan--s-kl,ATC publikovaná SÚKL,endpoint offline,http://linked.opendata.cz/sparql,-1,endpoint offline,[],True,endpoint offline,endpoint offline,insufficient data,insufficien data,insufficient data,endpoint offline,{},endpoint offline,endpoint offline,-1,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,cc-nd - cc-nd -,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,0,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,[],{},,endpoint offline,[],None,RDF reprezentace hierarchie ATC,Absent,absent,"0,5",endpoint offline,endpoint offline,"Name: http://opendata.cz, Email:None",endpoint offline,endpoint offline,Web:Absent Name:http://www.ksi.mff.cuni.cz/~kozak#me Email:Absent,endpoint offline,0,0,0,endpoint offline,endpoint offline,endpoint offline,insufficient data,endpoint offline,False,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,insufficient data,0.325,0,endpoint offline,[],,VoID file absent,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline
athelia-rfid,"Athelia RFID, a global knowledge network of RFID technology",endpoint absent,,-1,endpoint absent,[],True,endpoint absent,endpoint absent,insufficient data,insufficien data,insufficient data,endpoint absent,{},endpoint absent,endpoint absent,-1,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Creative Commons Non-Commercial (Any) - cc-nc -,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,253440,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,5,"0,500","0,003",endpoint absent,"['Name:nytimes-linked-open-data, value:154', 'Name:gnoss, value:133', 'Name:freebase, value:102', 'Name:dblp-deusto-gnoss, value:814', 'Name:dbpedia, value:153']","0,00010041028696649531","<a href=""http://athelia.com/"">Athelia Solutions</a>
, a company specialized in tracking solutions based on RFID technology (Radio Frequency Identification) and Mobile Data Capture, renewed its digital identity with a global knowledge network designed to share content and opinion about RFID technology in Oil & Gas, Food & Beverage, Energy & Utilities and Healthcare. The online global network of Athelia includes a professional community, called
<a href=""http://community.athelia.com/en/community/atheliacommunity"">Athelia Community</a>
, and a
<a href=""http://athelia.com/en/community/atheliasolutions"">portfolio of services and solutions</a>
of the company.
</p>
<p>
<p> It is focused on specialists in this field: users of technologies for traceability solutions, suppliers, technicians, engineers, researchers, consultants and journalists, among others, of those sectors in which Athelia is reference in identification and traceability.</p>",http://athelia.com,absent,"0,75",endpoint absent,endpoint absent,"Name: GNOSS Team, Email:gnoss@gnoss.com",endpoint absent,endpoint absent,Web:http://athelia.com Name:GNOSS Team Email:gnoss@gnoss.com,endpoint absent,253440,1356,0.01,endpoint absent,endpoint absent,endpoint absent,insufficient data,endpoint absent,True,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,insufficient data,0.388,0,endpoint absent,[],http://athelia.com/.well-known/void,VoID file offline,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent
aueb-linked-open-data,AUEB Linked Open Data,endpoint offline,http://modip.aueb.gr/d2rq/sparql,-1,endpoint offline,[],False,endpoint offline,endpoint offline,insufficient data,insufficien data,insufficient data,endpoint offline,absent,endpoint offline,endpoint offline,-1,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Open Data Commons Public Domain Dedication and License (PDDL) - odc-pddl -,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,0,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,[],{},,endpoint offline,[],None,Linked open data from Athens University of Economics and Business. Data are relevant to the organizational structure and published research from university members.,absent,absent,"0,5",endpoint offline,endpoint offline,"Name: None, Email:bzafiris@gmail.com",endpoint offline,endpoint offline,Web:absent Name:absent Email:absent,endpoint offline,0,0,0,endpoint offline,endpoint offline,endpoint offline,insufficient data,endpoint offline,False,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,insufficient data,0.325,0,endpoint offline,[],,VoID file absent,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline
austrian_ski_racers,Alpine Ski Racers of Austria,endpoint offline,http://vocabulary.semantic-web.at/PoolParty/sparql/AustrianSkiTeam,-1,endpoint offline,[],True,endpoint offline,endpoint offline,insufficient data,insufficien data,insufficient data,endpoint offline,{},endpoint offline,endpoint offline,-1,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,GNU Free Documentation License - gfdl -,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,4183,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,3,"0,667","0,002",endpoint offline,"['Name:freebase, value:102', 'Name:dbpedia, value:921']","8,285989800271041e-05",Austrian top-skiers active in world cup. ,http://vocabulary.semantic-web.at/AustrianSkiTeam,absent,"0,75",endpoint offline,endpoint offline,"Name: None, Email:office@semantic-web.at",endpoint offline,endpoint offline,Web:http://vocabulary.semantic-web.at/AustrianSkiTeam Name:Andreas Blumauer Email:a.blumauer@semantic-web.at,endpoint offline,4183,1023,0.24,endpoint offline,endpoint offline,endpoint offline,insufficient data,endpoint offline,True,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,insufficient data,0.399,0,endpoint offline,[],http://vocabulary.semantic-web.at/AustrianSkiTeam/.well-known/void,VoID file offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline
babelnet,BabelNet,endpoint offline,http://babelnet.org/sparql/,-1,endpoint offline,[],True,endpoint offline,endpoint offline,insufficient data,insufficien data,insufficient data,endpoint offline,{},endpoint offline,endpoint offline,-1,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Other (Non-Commercial) - other-nc -,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,1971744856,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,38,"0,047","0,020",endpoint offline,"['Name:wordnet-rdf, value:322519', 'Name:lexinfo, value:75326283', 'Name:wikipedia, value:86241042', 'Name:yago, value:3517616', 'Name:wiktionary-dbpedia-org, value:285912', 'Name:freebase, value:3850334', 'Name:lemonuby, value:22298', 'Name:geonames-semantic-web, value:474189', 'Name:dbpedia, value:27585374']","0,02349726456635809","BabelNet is both a multilingual encyclopedic dictionary, with lexicographic and encyclopedic coverage of terms, and an ontology which connects concepts and named entities in a very large network of semantic relations, made up of 13,801,844 millions of nodes, called Babel synsets. Each Babel synset represents a given meaning and contains all the synonyms which in different languages express that meaning. The BabelNet resource is made available under the Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported license. The different resources from which BabelNet originates are made available under different licenses, as follows: WordNet: http://wordnet.princeton.edu/wordnet/license/, Wikipedia: Creative Commons Attribution-ShareAlike 3.0 Unported license, Wiktionary: Creative Commons Attribution-ShareAlike 3.0 Unported license, OmegaWiki: Creative Commons Attribution 2.5 Generic license or higher, ItalWordNet: Open Data Commons Attribution 1.0 License, and Open Multilingual WordNet: different licenses according to the language, as indicated at http://compling.hss.ntu.edu.sg/omw/. When applicable, specific license rights are specified through the property dcterms:license. Please make sure of using data in compliance with their respective licenses.",Absent,absent,"0,5",endpoint offline,endpoint offline,"Name: BabelNet Team - http://babelnet.org/about, Email:cecconi@di.uniroma1.it",endpoint offline,endpoint offline,Web:Absent Name:Roberto Navigli Email:navigli@di.uniroma1.it,endpoint offline,1971744856,197625567,0.10,endpoint offline,endpoint offline,endpoint offline,insufficient data,endpoint offline,False,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,insufficient data,0.33,0,endpoint offline,[],,VoID file absent,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline
Bacevicius.lt,,endpoint absent,,-1,endpoint absent,[],False,endpoint absent,endpoint absent,insufficient data,insufficien data,insufficient data,endpoint absent,absent,endpoint absent,endpoint absent,-1,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,[],{},,endpoint absent,[],None,False,absent,absent,"0,0",endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,Web:absent Name:absent Email:absent,endpoint absent,0,0,0,endpoint absent,endpoint absent,endpoint absent,insufficient data,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,insufficient data,0.2,0,endpoint absent,[],,VoID file absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent
bag,,endpoint absent,,-1,endpoint absent,[],False,endpoint absent,endpoint absent,insufficient data,insufficien data,insufficient data,endpoint absent,absent,endpoint absent,endpoint absent,-1,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,1,0,"0,001",endpoint absent,[],"8,708620467505358e-05",False,absent,absent,"0,0",endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,Web:absent Name:absent Email:absent,endpoint absent,0,0,0,endpoint absent,endpoint absent,endpoint absent,insufficient data,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,insufficient data,0.2,0,endpoint absent,[],,VoID file absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent
baixue,,endpoint absent,,-1,endpoint absent,[],False,endpoint absent,endpoint absent,insufficient data,insufficien data,insufficient data,endpoint absent,absent,endpoint absent,endpoint absent,-1,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,[],{},,endpoint absent,[],None,False,absent,absent,"0,0",endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,Web:absent Name:absent Email:absent,endpoint absent,0,0,0,endpoint absent,endpoint absent,endpoint absent,insufficient data,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,insufficient data,0.2,0,endpoint absent,[],,VoID file absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent
baixue composer,,endpoint absent,,-1,endpoint absent,[],False,endpoint absent,endpoint absent,insufficient data,insufficien data,insufficient data,endpoint absent,absent,endpoint absent,endpoint absent,-1,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,[],{},,endpoint absent,[],None,False,absent,absent,"0,0",endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,Web:absent Name:absent Email:absent,endpoint absent,0,0,0,endpoint absent,endpoint absent,endpoint absent,insufficient data,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,insufficient data,0.2,0,endpoint absent,[],,VoID file absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent
baixue imagery,,endpoint absent,,-1,endpoint absent,[],False,endpoint absent,endpoint absent,insufficient data,insufficien data,insufficient data,endpoint absent,absent,endpoint absent,endpoint absent,-1,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,[],{},,endpoint absent,[],None,False,absent,absent,"0,0",endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,Web:absent Name:absent Email:absent,endpoint absent,0,0,0,endpoint absent,endpoint absent,endpoint absent,insufficient data,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,insufficient data,0.2,0,endpoint absent,[],,VoID file absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent
baixue imagery1,,endpoint absent,,-1,endpoint absent,[],False,endpoint absent,endpoint absent,insufficient data,insufficien data,insufficient data,endpoint absent,absent,endpoint absent,endpoint absent,-1,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,[],{},,endpoint absent,[],None,False,absent,absent,"0,0",endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,Web:absent Name:absent Email:absent,endpoint absent,0,0,0,endpoint absent,endpoint absent,endpoint absent,insufficient data,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,insufficient data,0.2,0,endpoint absent,[],,VoID file absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent
bams,BAMS,endpoint absent,,-1,endpoint absent,[],True,endpoint absent,endpoint absent,insufficient data,insufficien data,insufficient data,endpoint absent,absent,endpoint absent,endpoint absent,-1,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Creative Commons Attribution - cc-by -,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,[],{},,endpoint absent,[],None,"### About

**Data exposed**: BAMS
**Size of dump and data set**: 5.6 MB
**Notes**: 2009-05-24: File does not exist - hg / Health Care and Life Sciences Interest Group (HCLSIG) / National Institute of Standards and Technology (NIST); released without contract

### Openness

No information found.",http://brancusi.usc.edu/bkms/bamsxml.html,absent,"0,75",endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,Web:http://brancusi.usc.edu/bkms/bamsxml.html Name:Absent Email:Absent,endpoint absent,0,0,0,endpoint absent,endpoint absent,endpoint absent,insufficient data,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,insufficient data,0.287,0,endpoint absent,[],http://brancusi.usc.edu/bkms/bamsxml.html/.well-known/void,VoID file offline,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent
basque-eurowordnet-lemon-lexicon-3-0,Basque EuroWordNet-lemon lexicon (3.0),endpoint absent,,1,endpoint absent,['https://github.com/martavillegas/EuroWordNetLemon/blob/master/eus-30-lmf.xml.ttl'],False,endpoint absent,endpoint absent,insufficient data,insufficien data,insufficient data,endpoint absent,{},endpoint absent,endpoint absent,1,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Creative Commons Attribution - cc-by -,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,1215583,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,2,0,"0,001",endpoint absent,"['Name:sumo, value:79149', 'Name:lexinfo, value:27222']","0,00021749173757395994",This is the Basque EuroWordNet-Lemon lexicon. The lexicon was created from the Spanish Word-Net-LMF lexicon which is part of the Multilingual Central Repository (MCR http://adimen.si.ehu.es/web/MCR). The lexicon conforms to the 'lemon' specification.,absent,absent,"0,5",endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,Web:absent Name:absent Email:absent,endpoint absent,1215583,106371,0.09,endpoint absent,endpoint absent,endpoint absent,insufficient data,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,insufficient data,0.38,0,endpoint absent,[],,VoID file absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent
bbc-music,BBC Music,endpoint offline,http://api.talis.com/stores/bbc-backstage/services/sparql,-1,endpoint offline,[],True,endpoint offline,endpoint offline,insufficient data,insufficien data,insufficient data,endpoint offline,{},endpoint offline,endpoint offline,-1,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,False,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,20000000,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,15,"0,248","0,008",endpoint offline,"['Name:dbpedia, value:23000']","0,000975691529232913","BBC Music is a team working in the department of Audio and Music Interactive at the BBC. Responsible for the BBC Music website - the portal site to music content across the BBC website. It is also the location of the BBC's album reviews, covering all major releases in every genre on a monthly basis and written by a wide range of music experts. Contributors include Andrew Mueller, Nick Barraclough, David Quantick, Barney Hoskyns and Paul Lester. Music reviews are edited by former Drowned in Sound and Clash magazine online editor Mike Diver.",http://www.bbc.co.uk/music,absent,"0,75",endpoint offline,endpoint offline,False,endpoint offline,endpoint offline,Web:http://www.bbc.co.uk/music Name:Tom Scott Email:http://derivadow.com,endpoint offline,20000000,23000,0.00,endpoint offline,endpoint offline,endpoint offline,insufficient data,endpoint offline,True,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,insufficient data,0.287,0,endpoint offline,[],http://www.bbc.co.uk/music/.well-known/void,VoID file offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline
