MODEL	FORMAT	CATEGORY	LS_RV	COUNT	ACCURACY_MEAN
kimi-k2	time_labeled	IR	LS	5	1.000000
kimi-k2	time_labeled	IR	RV	5	1.000000
kimi-k2	time_labeled	TA	LS	5	1.000000
kimi-k2	time_labeled	TA	RV	5	1.000000
kimi-k2	unstructured	ALL	LS	20	0.750000
kimi-k2	unstructured	ALL	RV	20	0.725000
kimi-k2	unstructured	Co	LS	5	0.500000
kimi-k2	unstructured	Co	RV	5	0.500000
kimi-k2	unstructured	E&D	LS	5	0.500000
kimi-k2	unstructured	E&D	RV	5	0.600000
kimi-k2	unstructured	IR	LS	5	1.000000
kimi-k2	unstructured	IR	RV	5	0.800000
kimi-k2	unstructured	TA	LS	5	1.000000
kimi-k2	unstructured	TA	RV	5	1.000000
kimi-k2	value_labeled	ALL	LS	20	0.825000
kimi-k2	value_labeled	ALL	RV	20	0.875000
kimi-k2	value_labeled	Co	LS	5	0.600000
kimi-k2	value_labeled	Co	RV	5	0.600000
kimi-k2	value_labeled	E&D	LS	5	0.700000
kimi-k2	value_labeled	E&D	RV	5	0.900000
kimi-k2	value_labeled	IR	LS	5	1.000000
kimi-k2	value_labeled	IR	RV	5	1.000000
kimi-k2	value_labeled	TA	LS	5	1.000000
kimi-k2	value_labeled	TA	RV	5	1.000000
llama-3.1-70b	4_uniform	ALL	LS	20	0.350000
llama-3.1-70b	4_uniform	ALL	RV	20	0.400000
llama-3.1-70b	4_uniform	Co	LS	5	0.200000
llama-3.1-70b	4_uniform	Co	RV	5	0.400000
llama-3.1-70b	4_uniform	E&D	LS	5	0.200000
llama-3.1-70b	4_uniform	E&D	RV	5	0.300000
llama-3.1-70b	4_uniform	IR	LS	5	0.600000
llama-3.1-70b	4_uniform	IR	RV	5	0.600000
llama-3.1-70b	4_uniform	TA	LS	5	0.400000
llama-3.1-70b	4_uniform	TA	RV	5	0.300000
llama-3.1-70b	ALL	ALL	LS	160	0.431250
llama-3.1-70b	ALL	ALL	RV	160	0.437500
llama-3.1-70b	ALL	Co	LS	40	0.312500
llama-3.1-70b	ALL	Co	RV	40	0.325000
llama-3.1-70b	ALL	E&D	LS	40	0.425000
llama-3.1-70b	ALL	E&D	RV	40	0.425000
llama-3.1-70b	ALL	IR	LS	40	0.550000
llama-3.1-70b	ALL	IR	RV	40	0.550000
llama-3.1-70b	ALL	TA	LS	40	0.437500
llama-3.1-70b	ALL	TA	RV	40	0.450000
llama-3.1-70b	CSV	ALL	LS	20	0.525000
llama-3.1-70b	CSV	ALL	RV	20	0.425000
llama-3.1-70b	CSV	Co	LS	5	0.400000
llama-3.1-70b	CSV	Co	RV	5	0.000000
llama-3.1-70b	CSV	E&D	LS	5	0.600000
llama-3.1-70b	CSV	E&D	RV	5	0.600000
llama-3.1-70b	CSV	IR	LS	5	0.600000
llama-3.1-70b	CSV	IR	RV	5	0.600000
llama-3.1-70b	CSV	TA	LS	5	0.500000
llama-3.1-70b	CSV	TA	RV	5	0.500000
llama-3.1-70b	KG	ALL	LS	20	0.500000
llama-3.1-70b	KG	ALL	RV	20	0.525000
llama-3.1-70b	KG	Co	LS	5	0.400000
llama-3.1-70b	KG	Co	RV	5	0.400000
llama-3.1-70b	KG	E&D	LS	5	0.200000
llama-3.1-70b	KG	E&D	RV	5	0.300000
llama-3.1-70b	KG	IR	LS	5	0.400000
llama-3.1-70b	KG	IR	RV	5	0.600000
llama-3.1-70b	KG	TA	LS	5	1.000000
llama-3.1-70b	KG	TA	RV	5	0.800000
llama-3.1-70b	kg_labeled	ALL	LS	20	0.425000
llama-3.1-70b	kg_labeled	ALL	RV	20	0.500000
llama-3.1-70b	kg_labeled	Co	LS	5	0.400000
llama-3.1-70b	kg_labeled	Co	RV	5	0.400000
llama-3.1-70b	kg_labeled	E&D	LS	5	0.300000
llama-3.1-70b	kg_labeled	E&D	RV	5	0.700000
llama-3.1-70b	kg_labeled	IR	LS	5	0.600000
llama-3.1-70b	kg_labeled	IR	RV	5	0.600000
llama-3.1-70b	kg_labeled	TA	LS	5	0.400000
llama-3.1-70b	kg_labeled	TA	RV	5	0.300000
llama-3.1-70b	metric_labeled	ALL	LS	20	0.425000
llama-3.1-70b	metric_labeled	ALL	RV	20	0.500000
llama-3.1-70b	metric_labeled	Co	LS	5	0.200000
llama-3.1-70b	metric_labeled	Co	RV	5	0.400000
llama-3.1-70b	metric_labeled	E&D	LS	5	0.500000
llama-3.1-70b	metric_labeled	E&D	RV	5	0.500000
llama-3.1-70b	metric_labeled	IR	LS	5	0.600000
llama-3.1-70b	metric_labeled	IR	RV	5	0.600000
llama-3.1-70b	metric_labeled	TA	LS	5	0.400000
llama-3.1-70b	metric_labeled	TA	RV	5	0.500000
llama-3.1-70b	time_labeled	ALL	LS	20	0.425000
llama-3.1-70b	time_labeled	ALL	RV	20	0.475000
llama-3.1-70b	time_labeled	Co	LS	5	0.400000
llama-3.1-70b	time_labeled	Co	RV	5	0.400000
llama-3.1-70b	time_labeled	E&D	LS	5	0.500000
llama-3.1-70b	time_labeled	E&D	RV	5	0.500000
llama-3.1-70b	time_labeled	IR	LS	5	0.600000
llama-3.1-70b	time_labeled	IR	RV	5	0.600000
llama-3.1-70b	time_labeled	TA	LS	5	0.200000
llama-3.1-70b	time_labeled	TA	RV	5	0.400000
llama-3.1-70b	unstructured	ALL	LS	20	0.325000
llama-3.1-70b	unstructured	ALL	RV	20	0.375000
llama-3.1-70b	unstructured	Co	LS	5	0.300000
llama-3.1-70b	unstructured	Co	RV	5	0.400000
llama-3.1-70b	unstructured	E&D	LS	5	0.600000
llama-3.1-70b	unstructured	E&D	RV	5	0.300000
llama-3.1-70b	unstructured	IR	LS	5	0.400000
llama-3.1-70b	unstructured	IR	RV	5	0.400000
llama-3.1-70b	unstructured	TA	LS	5	0.000000
llama-3.1-70b	unstructured	TA	RV	5	0.400000
llama-3.1-70b	value_labeled	ALL	LS	20	0.475000
llama-3.1-70b	value_labeled	ALL	RV	20	0.300000
llama-3.1-70b	value_labeled	Co	LS	5	0.200000
llama-3.1-70b	value_labeled	Co	RV	5	0.200000
llama-3.1-70b	value_labeled	E&D	LS	5	0.500000
llama-3.1-70b	value_labeled	E&D	RV	5	0.200000
llama-3.1-70b	value_labeled	IR	LS	5	0.600000
llama-3.1-70b	value_labeled	IR	RV	5	0.400000
llama-3.1-70b	value_labeled	TA	LS	5	0.600000
llama-3.1-70b	value_labeled	TA	RV	5	0.400000
mistral-large-123b	4_uniform	ALL	LS	20	0.375000
mistral-large-123b	4_uniform	ALL	RV	20	0.475000
mistral-large-123b	4_uniform	Co	LS	5	0.200000
mistral-large-123b	4_uniform	Co	RV	5	0.400000
mistral-large-123b	4_uniform	E&D	LS	5	0.500000
mistral-large-123b	4_uniform	E&D	RV	5	0.500000
mistral-large-123b	4_uniform	IR	LS	5	0.600000
mistral-large-123b	4_uniform	IR	RV	5	0.600000
mistral-large-123b	4_uniform	TA	LS	5	0.200000
mistral-large-123b	4_uniform	TA	RV	5	0.400000
mistral-large-123b	ALL	ALL	LS	160	0.368750
mistral-large-123b	ALL	ALL	RV	160	0.390625
mistral-large-123b	ALL	Co	LS	40	0.212500
mistral-large-123b	ALL	Co	RV	40	0.250000
mistral-large-123b	ALL	E&D	LS	40	0.400000
mistral-large-123b	ALL	E&D	RV	40	0.500000
mistral-large-123b	ALL	IR	LS	40	0.525000
mistral-large-123b	ALL	IR	RV	40	0.475000
mistral-large-123b	ALL	TA	LS	40	0.337500
mistral-large-123b	ALL	TA	RV	40	0.337500
mistral-large-123b	CSV	ALL	LS	20	0.500000
mistral-large-123b	CSV	ALL	RV	20	0.525000
mistral-large-123b	CSV	Co	LS	5	0.600000
mistral-large-123b	CSV	Co	RV	5	0.600000
mistral-large-123b	CSV	E&D	LS	5	0.400000
mistral-large-123b	CSV	E&D	RV	5	0.600000
mistral-large-123b	CSV	IR	LS	5	0.600000
mistral-large-123b	CSV	IR	RV	5	0.600000
mistral-large-123b	CSV	TA	LS	5	0.400000
mistral-large-123b	CSV	TA	RV	5	0.300000
mistral-large-123b	KG	ALL	LS	20	0.400000
mistral-large-123b	KG	ALL	RV	20	0.450000
mistral-large-123b	KG	Co	LS	5	0.300000
mistral-large-123b	KG	Co	RV	5	0.200000
mistral-large-123b	KG	E&D	LS	5	0.300000
mistral-large-123b	KG	E&D	RV	5	0.400000
mistral-large-123b	KG	IR	LS	5	0.400000
mistral-large-123b	KG	IR	RV	5	0.600000
mistral-large-123b	KG	TA	LS	5	0.600000
mistral-large-123b	KG	TA	RV	5	0.600000
mistral-large-123b	kg_labeled	ALL	LS	20	0.325000
mistral-large-123b	kg_labeled	ALL	RV	20	0.375000
mistral-large-123b	kg_labeled	Co	LS	5	0.000000
mistral-large-123b	kg_labeled	Co	RV	5	0.200000
mistral-large-123b	kg_labeled	E&D	LS	5	0.300000
mistral-large-123b	kg_labeled	E&D	RV	5	0.500000
mistral-large-123b	kg_labeled	IR	LS	5	0.600000
mistral-large-123b	kg_labeled	IR	RV	5	0.400000
mistral-large-123b	kg_labeled	TA	LS	5	0.400000
mistral-large-123b	kg_labeled	TA	RV	5	0.400000
mistral-large-123b	metric_labeled	ALL	LS	20	0.475000
mistral-large-123b	metric_labeled	ALL	RV	20	0.350000
mistral-large-123b	metric_labeled	Co	LS	5	0.200000
mistral-large-123b	metric_labeled	Co	RV	5	0.200000
mistral-large-123b	metric_labeled	E&D	LS	5	0.700000
mistral-large-123b	metric_labeled	E&D	RV	5	0.500000
mistral-large-123b	metric_labeled	IR	LS	5	0.600000
mistral-large-123b	metric_labeled	IR	RV	5	0.400000
mistral-large-123b	metric_labeled	TA	LS	5	0.400000
mistral-large-123b	metric_labeled	TA	RV	5	0.300000
mistral-large-123b	time_labeled	ALL	LS	20	0.300000
mistral-large-123b	time_labeled	ALL	RV	20	0.375000
mistral-large-123b	time_labeled	Co	LS	5	0.000000
mistral-large-123b	time_labeled	Co	RV	5	0.200000
mistral-large-123b	time_labeled	E&D	LS	5	0.300000
mistral-large-123b	time_labeled	E&D	RV	5	0.500000
mistral-large-123b	time_labeled	IR	LS	5	0.600000
mistral-large-123b	time_labeled	IR	RV	5	0.400000
mistral-large-123b	time_labeled	TA	LS	5	0.300000
mistral-large-123b	time_labeled	TA	RV	5	0.400000
mistral-large-123b	unstructured	ALL	LS	20	0.250000
mistral-large-123b	unstructured	ALL	RV	20	0.250000
mistral-large-123b	unstructured	Co	LS	5	0.200000
mistral-large-123b	unstructured	Co	RV	5	0.000000
mistral-large-123b	unstructured	E&D	LS	5	0.400000
mistral-large-123b	unstructured	E&D	RV	5	0.500000
mistral-large-123b	unstructured	IR	LS	5	0.400000
mistral-large-123b	unstructured	IR	RV	5	0.400000
mistral-large-123b	unstructured	TA	LS	5	0.000000
mistral-large-123b	unstructured	TA	RV	5	0.100000
mistral-large-123b	value_labeled	ALL	LS	20	0.325000
mistral-large-123b	value_labeled	ALL	RV	20	0.325000
mistral-large-123b	value_labeled	Co	LS	5	0.200000
mistral-large-123b	value_labeled	Co	RV	5	0.200000
mistral-large-123b	value_labeled	E&D	LS	5	0.300000
mistral-large-123b	value_labeled	E&D	RV	5	0.500000
mistral-large-123b	value_labeled	IR	LS	5	0.400000
mistral-large-123b	value_labeled	IR	RV	5	0.400000
mistral-large-123b	value_labeled	TA	LS	5	0.400000
mistral-large-123b	value_labeled	TA	RV	5	0.200000
